when	user	A	B	games	jobs	map	seed_base	A_win	B_win	draw	err	A_rate	se_pp	runid
2026-08-29T13:51:12	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	runs/contest/round_12/submission_133679.cpp	140	4	sweep(N=181..249)	1100000	12	87	41	0	0.121	3.3	20260829T135029-inhyeok-363906
2026-08-29T13:51:34	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_12_1345/sehyeon_v5.cpp	70	4	sweep(N=181..249)	1101000	23	27	20	0	0.460	7.0	20260829T135112-inhyeok-470128
2026-08-29T13:51:44	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_13_1400/jinsu_rush.cpp	70	4	sweep(N=181..249)	1102000	63	7	0	0	0.900	3.6	20260829T135134-inhyeok-524504
2026-08-29T13:52:33	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	runs/contest/round_12/submission_133679.cpp	140	4	sweep(N=181..249)	1100000	8	12	120	0	0.400	11.0	20260829T135152-inhyeok-562910
2026-08-29T13:54:14	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	runs/contest/round_12/submission_133679.cpp	210	4	sweep(N=181..249)	1103000	24	20	166	0	0.545	7.5	20260829T135314-inhyeok-678295
2026-08-29T13:54:50	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_12_1345/sehyeon_v5.cpp	70	4	sweep(N=181..249)	1104000	36	9	25	0	0.800	6.0	20260829T135432-inhyeok-846570
2026-08-29T13:55:08	inhyeok	runs/contest/round_12/submission_133679.cpp	TEAM/round_12_1345/sehyeon_v5.cpp	70	4	sweep(N=181..249)	1104000	41	9	20	0	0.820	5.4	20260829T135450-inhyeok-900069
2026-08-29T13:55:31	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_13_1400/sehyeon_v3.cpp	70	4	sweep(N=181..249)	1105000	24	15	31	0	0.615	7.8	20260829T135508-inhyeok-953224
2026-08-29T13:55:50	inhyeok	runs/contest/round_12/submission_133679.cpp	TEAM/round_13_1400/sehyeon_v3.cpp	70	4	sweep(N=181..249)	1105000	23	15	32	0	0.605	7.9	20260829T135531-inhyeok-1008625
2026-08-29T13:55:59	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_13_1400/jinsu_rush.cpp	70	4	sweep(N=181..249)	1106000	65	5	0	0	0.929	3.1	20260829T135550-inhyeok-1064432
2026-08-29T13:56:08	inhyeok	runs/contest/round_12/submission_133679.cpp	TEAM/round_13_1400/jinsu_rush.cpp	70	4	sweep(N=181..249)	1106000	65	5	0	0	0.929	3.1	20260829T135559-inhyeok-1104568
2026-08-29T13:58:07	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	runs/contest/round_12/submission_133679.cpp	210	4	sweep(N=181..249)	1107000	19	20	171	0	0.487	8.0	20260829T135709-inhyeok-1148329
2026-08-29T13:58:25	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_12_1345/sehyeon_v5.cpp	70	4	sweep(N=181..249)	1104000	44	9	17	0	0.830	5.2	20260829T135807-inhyeok-1315433
2026-08-29T13:58:54	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_13_1400/sehyeon_v3.cpp	70	4	sweep(N=181..249)	1105000	24	15	31	0	0.615	7.8	20260829T135835-inhyeok-1368117
2026-08-29T13:59:04	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	TEAM/round_13_1400/jinsu_rush.cpp	70	4	sweep(N=181..249)	1106000	65	5	0	0	0.929	3.1	20260829T135854-inhyeok-1422860
2026-08-29T13:59:11	jinsu	jyp_v4	sehyeon_v3	105	6	sweep(N=181..249)	-	0	104	1	0	0.000	0.0	20260829T135850-jinsu-1412113
2026-08-29T13:59:15	inhyeok	/home/inhyeok/work/inhyuk_v5.cpp	sample	70	4	sweep(N=181..249)	1108000	70	0	0	0	1.000	0.0	20260829T135904-inhyeok-1495713
2026-08-29T13:59:27	jinsu	jyp_v4	inhyuk_v4	105	6	sweep(N=181..249)	-	0	105	0	0	0.000	0.0	20260829T135911-jinsu-1547038
2026-08-29T13:59:38	jinsu	jyp_v4	jinsu_rush	105	6	sweep(N=181..249)	-	101	4	0	0	0.962	1.9	20260829T135927-jinsu-1622757
2026-08-29T14:02:59	jinsu	inhyuk_v4	inhyuk_v5	105	6	sweep(N=181..249)	-	13	8	84	0	0.619	10.6	20260829T140232-jinsu-1692010
2026-08-29T14:03:22	jinsu	inhyuk_v4	sehyeon_v3	105	6	sweep(N=181..249)	-	37	22	46	0	0.627	6.3	20260829T140259-jinsu-1772408
2026-08-29T14:03:46	jinsu	inhyuk_v4	sehyeon_v6	105	6	sweep(N=181..249)	-	59	18	28	0	0.766	4.8	20260829T140322-jinsu-1852584
2026-08-29T14:04:06	jinsu	inhyuk_v5	sehyeon_v3	105	6	sweep(N=181..249)	-	36	22	47	0	0.621	6.4	20260829T140346-jinsu-1929816
2026-08-29T14:04:25	jinsu	inhyuk_v5	sehyeon_v6	105	6	sweep(N=181..249)	-	59	14	32	0	0.808	4.6	20260829T140406-jinsu-2009716
2026-08-29T14:04:43	jinsu	sehyeon_v3	sehyeon_v6	105	6	sweep(N=181..249)	-	50	25	30	0	0.667	5.4	20260829T140425-jinsu-2087108
2026-08-29T14:07:38	inhyeok	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/inhyuk_v5.cpp	140	4	sweep(N=181..249)	1200000	24	31	85	0	0.436	6.7	20260829T140652-inhyeok-2168166
2026-08-29T14:09:06	inhyeok	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/inhyuk_v5.cpp	210	4	sweep(N=181..249)	1201000	20	17	173	0	0.541	8.2	20260829T140805-inhyeok-2279716
2026-08-29T14:09:34	inhyeok	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_12_1345/sehyeon_v5.cpp	70	4	sweep(N=181..249)	1203000	46	6	18	0	0.885	4.4	20260829T140915-inhyeok-2448709
2026-08-29T14:09:58	inhyeok	TEAM/round_13_1400/inhyuk_v5.cpp	TEAM/round_12_1345/sehyeon_v5.cpp	70	4	sweep(N=181..249)	1203000	46	7	17	0	0.868	4.7	20260829T140934-inhyeok-2503068
2026-08-29T14:09:59	jinsu	inhyuk_v4	sehyeon_v3	105	6	sweep(N=181..249)	-	35	24	46	0	0.593	6.4	20260829T140935-jinsu-2506683
2026-08-29T14:10:09	inhyeok	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/jinsu_rush.cpp	70	4	sweep(N=181..249)	1204000	65	5	0	0	0.929	3.1	20260829T140958-inhyeok-2637001
2026-08-29T14:10:20	inhyeok	TEAM/round_13_1400/inhyuk_v5.cpp	TEAM/round_13_1400/jinsu_rush.cpp	70	4	sweep(N=181..249)	1204000	65	5	0	0	0.929	3.1	20260829T141009-inhyeok-2699222
2026-08-29T14:10:26	jinsu	inhyuk_v4	inhyuk_v5	105	6	sweep(N=181..249)	-	8	3	94	0	0.727	13.4	20260829T140959-jinsu-2645249
2026-08-29T14:10:47	jinsu	jinsu_exp_a	sehyeon_v3	105	6	sweep(N=181..249)	-	8	68	29	0	0.105	3.5	20260829T141027-jinsu-2804565
2026-08-29T14:11:02	inhyeok	/home/inhyeok/work/inhyuk_v6.cpp	TEAM/round_13_1400/sehyeon_v3.cpp	70	4	sweep(N=181..249)	1105000	27	14	29	0	0.659	7.4	20260829T141038-inhyeok-2854283
2026-08-29T14:11:11	jinsu	jinsu_exp_a	inhyuk_v5	105	6	sweep(N=181..249)	-	3	81	21	0	0.036	2.0	20260829T141048-jinsu-2906000
2026-08-29T14:11:13	inhyeok	/home/inhyeok/work/inhyuk_v6.cpp	sample	70	4	sweep(N=181..249)	1205000	70	0	0	0	1.000	0.0	20260829T141102-inhyeok-2987500
2026-08-29T14:11:32	jinsu	jinsu_exp_b	sehyeon_v3	105	6	sweep(N=181..249)	-	15	56	34	0	0.211	4.8	20260829T141111-jinsu-3047725
2026-08-29T14:11:52	jinsu	jinsu_exp_b	inhyuk_v5	105	6	sweep(N=181..249)	-	12	64	29	0	0.158	4.2	20260829T141132-jinsu-3134329
2026-08-29T14:12:03	jinsu	jinsu_exp_c	sehyeon_v3	105	6	sweep(N=181..249)	-	0	105	0	0	0.000	0.0	20260829T141152-jinsu-3214294
2026-08-29T14:12:14	jinsu	jinsu_exp_c	inhyuk_v5	105	6	sweep(N=181..249)	-	0	105	0	0	0.000	0.0	20260829T141203-jinsu-3273687
2026-08-29T14:12:25	jinsu	jinsu_exp_d	sehyeon_v3	105	6	sweep(N=181..249)	-	0	105	0	0	0.000	0.0	20260829T141214-jinsu-3333782
2026-08-29T14:12:36	jinsu	jinsu_exp_d	inhyuk_v5	105	6	sweep(N=181..249)	-	0	105	0	0	0.000	0.0	20260829T141225-jinsu-3394618
2026-08-29T14:13:19	jinsu	inhyuk_v6	inhyuk_v5	105	6	sweep(N=181..249)	-	11	7	87	0	0.611	11.5	20260829T141255-jinsu-3454502
2026-08-29T14:13:41	jinsu	inhyuk_v6	inhyuk_v4	105	6	sweep(N=181..249)	-	16	15	74	0	0.516	9.0	20260829T141320-jinsu-3537815
2026-08-29T14:14:01	jinsu	inhyuk_v6	sehyeon_v3	105	6	sweep(N=181..249)	-	26	31	48	0	0.456	6.6	20260829T141341-jinsu-3620652
2026-08-29T14:33:06	jinyoung	./v7.cpp	/srv/nypc/TEAM/round_14_1415/inhyuk_v6.cpp	10	4	random	100	0	10	0	0	0.000	0.0	20260829T143300-jinyoung-315169
2026-08-29T14:34:58	jinyoung	./v7.cpp	/srv/nypc/TEAM/round_14_1415/inhyuk_v6.cpp	10	4	random	100	0	10	0	0	0.000	0.0	20260829T143456-jinyoung-327052
2026-08-29T14:36:18	jinsu	inhyuk_v6	jinsu_rush	105	6	sweep(N=181..249)	-	103	2	0	0	0.981	1.3	20260829T143603-jinsu-337499
2026-08-29T14:37:41	jinyoung	./v7.cpp	/srv/nypc/TEAM/round_14_1415/inhyuk_v6.cpp	10	4	random	100	0	10	0	0	0.000	0.0	20260829T143738-jinyoung-402125
2026-08-29T14:37:57	jinyoung	./v7.cpp	sample	4	2	random	200	4	0	0	0	1.000	0.0	20260829T143756-jinyoung-413021
2026-08-29T14:38:00	jinyoung	./v7.cpp	/srv/nypc/TEAM/old/v6.cpp	4	2	random	300	0	2	2	0	0.000	0.0	20260829T143757-jinyoung-415004
2026-08-29T14:38:47	inhyeok	/home/inhyeok/work/inhyuk_v7_candidate.cpp	TEAM/round_14_1415/inhyuk_v6.cpp	210	4	sweep(N=181..249)	-	20	172	18	0	0.104	2.2	20260829T143755-inhyeok-412945
2026-08-29T14:38:52	jinyoung	./v7.cpp	/srv/nypc/TEAM/round_14_1415/inhyuk_v6.cpp	10	4	random	100	1	7	2	0	0.125	11.7	20260829T143848-jinyoung-552487
2026-08-29T14:40:06	jinsu	staged_rush	inhyuk_v6	105	6	sweep(N=181..249)	-	32	73	0	0	0.305	4.5	20260829T143955-jinsu-562323
2026-08-29T14:41:01	jinyoung	/home/jinyoung/bots/babsang.cpp	sample	20	4	random	-	20	0	0	0	1.000	0.0	20260829T144057-jinyoung-626179
2026-08-29T14:41:05	jinyoung	/home/jinyoung/bots/babsang.cpp	/home/jinyoung/shared/TEAM/round_14_1415/inhyuk_v6.cpp	20	4	random	-	1	19	0	0	0.050	4.9	20260829T144101-jinyoung-632562
2026-08-29T14:42:41	jinsu	staged_rush	inhyuk_v6	105	6	sweep(N=181..249)	-	26	78	1	0	0.250	4.2	20260829T144230-jinsu-646301
2026-08-29T14:42:48	jinsu	sr_reinf	inhyuk_v6	105	6	sweep(N=181..249)	-	38	67	0	0	0.362	4.7	20260829T144241-jinsu-711290
2026-08-29T14:42:59	jinsu	sr_adj	inhyuk_v6	105	6	sweep(N=181..249)	-	19	86	0	0	0.181	3.8	20260829T144248-jinsu-737706
2026-08-29T14:43:04	jinsu	sr_big	inhyuk_v6	105	6	sweep(N=181..249)	-	0	105	0	0	0.000	0.0	20260829T144259-jinsu-798726
2026-08-29T14:43:12	jinsu	sr_adj_reinf	inhyuk_v6	105	6	sweep(N=181..249)	-	13	92	0	0	0.124	3.2	20260829T144304-jinsu-805565
2026-08-29T14:43:17	jinsu	sr_big_reinf	inhyuk_v6	105	6	sweep(N=181..249)	-	0	105	0	0	0.000	0.0	20260829T144312-jinsu-838381
2026-08-29T14:43:34	jinyoung	/home/jinyoung/bots/babsang.cpp	/home/jinyoung/shared/TEAM/round_14_1415/inhyuk_v6.cpp	20	4	random	-	11	9	0	0	0.550	11.1	20260829T144328-jinyoung-845272
2026-08-29T14:43:49	jinsu	sr_fast	inhyuk_v6	105	6	sweep(N=181..249)	-	5	100	0	0	0.048	2.1	20260829T144342-jinsu-857669
2026-08-29T14:43:57	jinyoung	/home/jinyoung/bots/babsang.cpp	/home/jinyoung/shared/TEAM/round_14_1415/inhyuk_v6.cpp	40	6	random	-	26	14	0	0	0.650	7.5	20260829T144351-jinyoung-884238
